title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
Infrared Small Target Detection with Scale and Location Sensitivity,2024,CVPR,https://openaccess.thecvf.com/content/CVPR2024/html/Liu_Infrared_Small_Target_Detection_with_Scale_and_Location_Sensitivity_CVPR_2024_paper.html,pure method,4,4,4,A,MSHNet baseline and multi-scale head,Primary proceedings
Pinwheel-shaped Convolution and Scale-based Dynamic Loss,2025,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/32996,method + benchmark,4,4,4,A,Task-specific lower-layer geometry,Primary proceedings
TCI-Former,2024,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/27882,pure method,5,4,4,A,Single-law architecture design exemplar,Primary proceedings
IRMamba,2025,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/33085,pure method,4,4,4,A,Pixel-difference state evolution and restoration,Primary proceedings
DEFANet,2026,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/37368,pure method,4,4,4,A,Edge-target frequency dual path,Primary proceedings
Target-Aware Invertible Encoder with Reconstruction Guidance,2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Yan_Target-Aware_Invertible_Encoder_with_Reconstruction_Guidance_for_Infrared_Small_Target_CVPR_2026_paper.html,pure method,5,5,4,A,Downsampling information preservation,Primary proceedings
Seeing Through the Noise: NS-FPN,2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Yuan_Seeing_Through_the_Noise_Improving_Infrared_Small_Target_Detection_and_CVPR_2026_paper.html,pure method,5,5,5,A,Noise-suppressing pyramid fusion,Primary proceedings
ISNet: Shape Matters,2022,CVPR,https://openaccess.thecvf.com/content/CVPR2022/papers/Zhang_ISNet_Shape_Matters_for_Infrared_Small_Target_Detection_CVPR_2022_paper.pdf,method + benchmark,4,5,4,A,Edge and cross-layer aggregation,Primary proceedings
SCTransNet,2024,arXiv,https://arxiv.org/abs/2401.15583,pure method,4,4,4,B,Cross-level transformer interaction,Stable preprint
DNANet,2021,arXiv,https://arxiv.org/abs/2106.00487,method + benchmark,4,5,5,A,Dense nested target preservation,Stable preprint
UIU-Net,2022,arXiv,https://arxiv.org/abs/2212.00968,pure method,4,4,4,A,Nested U structure,Stable preprint
One-Stage Cascade Refinement Networks,2022,arXiv,https://arxiv.org/abs/2212.08472,method + benchmark,4,4,4,Risk,Coarse-to-fine head refinement,Stable preprint
Laplacian Pyramid Reconstruction and Refinement,2016,arXiv,https://arxiv.org/abs/1605.02264,pure method,4,4,4,Risk,Multi-resolution reconstruction,Stable preprint
Residual Pyramid Learning,2019,arXiv,https://arxiv.org/abs/1903.09746,pure method,3,3,3,Risk,Residual segmentation labels,Stable preprint
LoMix,2025,NeurIPS OpenReview,https://openreview.net/forum?id=87c2JwNJa0,pure method,4,4,4,Risk,Learned multi-scale logit combinations,Primary venue record
On Single Source Robustness in Deep Fusion Models,2019,NeurIPS,https://papers.neurips.cc/paper/8728-on-single-source-robustness-in-deep-fusion-models.pdf,pure method,4,4,4,Risk,General source robustness in deep fusion,Primary proceedings
Detail-Preserving Pooling in Deep Networks,2018,CVPR,https://openaccess.thecvf.com/content_cvpr_2018/html/Saeedan_Detail-Preserving_Pooling_in_CVPR_2018_paper.html,pure method,5,5,4,A,Adaptive learnable pooling establishes a crowded resampling boundary,Primary proceedings
Ordinal Pooling,2021,arXiv,https://arxiv.org/abs/2109.01561,pure method,4,4,4,Risk,Learned ordered-activation weights rule out novelty for top-rank mixtures alone,Stable preprint
Topology-Preserving Deep Image Segmentation,2019,arXiv,https://arxiv.org/abs/1906.05404,pure method,5,5,4,A,Persistent-homology topology loss establishes connected-component prior art,Stable preprint
Scale-Free Image Keypoints Using Differentiable Persistent Homology,2024,ICML,https://proceedings.mlr.press/v235/barbarani24a.html,pure method,5,5,4,A,Scale persistence and PH salience terminology boundary,Primary proceedings
Towards High-Quality Image Segmentation: Improving Topology Accuracy by Penalizing Neighbor Pixels,2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Valverde_Towards_High-Quality_Image_Segmentation_Improving_Topology_Accuracy_by_Penalizing_Neighbor_CVPR_2026_paper.html,pure method,5,5,4,A,Neighbor support reduces isolated components via loss,Primary proceedings
LIP: Local Importance-Based Pooling,2019,ICCV,https://openaccess.thecvf.com/content_ICCV_2019/html/Gao_LIP_Local_Importance-Based_Pooling_ICCV_2019_paper.html,pure method,5,5,5,A,Learned local importance establishes adaptive downsampling prior art,Primary proceedings
AdaPool: Exponential Adaptive Pooling for Information-Retaining Downsampling,2023,TIP,https://arxiv.org/abs/2111.00772,pure method,5,5,5,A,Adaptive regional pooling and paired unpooling establish bidirectional prior art,Stable author preprint for journal paper
Content-Adaptive Downsampling in Convolutional Neural Networks,2023,CVPRW,https://openaccess.thecvf.com/content/CVPR2023W/ECV/html/Hesse_Content-Adaptive_Downsampling_in_Convolutional_Neural_Networks_CVPRW_2023_paper.html,pure method,4,4,4,B,Spatially varying resolution allocation prior art,Primary proceedings
